,title,year,rating,content,link
857,858. Dateline: Unforgettable,2021–,"8.4
 (38)","A series of reports chosen by ""Dateline"" correspondents that answers the question they most often get asked -- what their most memorable story is and why.",https://www.imdb.com/title/tt20881410/?ref_=sr_t_858
858,859. Homestead Rescue: Raney Ranch,2020–,"7.9
 (126)","The Raneys have helped novice homesteaders around the country save their homesteads from brink of failure, and now they return to Alaska to rescue the homestead they call home.",https://www.imdb.com/title/tt13182714/?ref_=sr_t_859
859,860. Body Fixers,2016–2017,"6.6
 (100)","Hairdressers Daniel and Nathan, beauticians April and Melissa, make-up artist Alex, and cosmetic doctor Dr Esho are the experts at hand to make sure all beauty fails get nailed.",https://www.imdb.com/title/tt7367924/?ref_=sr_t_860
860,861. Cheerleaders,2013–2020,"8.8
 (60)","Inside the world of the 2012 World Champion cheerleaders squad, The California All Stars and follows their fight to stay on top.",https://www.imdb.com/title/tt2717966/?ref_=sr_t_861
861,862. Money Talks,2014–,"6.5
 (38)",,https://www.imdb.com/title/tt3665326/?ref_=sr_t_862
862,863. The Curse of Civil War Gold,2018–,"6.1
 (452)",Kevin Dykstra and his team base their search for Civil War Gold in Michigan on a deathbed confession from a lighthouse keeper in the 1890s.,https://www.imdb.com/title/tt8045594/?ref_=sr_t_863
863,"864. SDMU-075: Art Models Wanted, Nude Modeling, Shameful Art Classes",2014,"9.3
 (12)",,https://www.imdb.com/title/tt14681742/?ref_=sr_t_864
864,865. Guys Gone Wild: Original,2004,"7.0
 (33)",Watch as hot guys bare it all for the camera.,https://www.imdb.com/title/tt1228974/?ref_=sr_t_865
865,866. Love Deadline,2024–,"6.5
 (95)","Looking for true love, women meet potential husbands while traveling to scenic locales. The catch? Only women can propose, while men are on the clock.",https://www.imdb.com/title/tt30626175/?ref_=sr_t_866
866,"867. My Mum, Your Dad Australia",2022–,"6.3
 (36)",Kate Langbroek presents this heartfelt series about single parents looking for love. What they don't know is their adult children are secretly guiding them through the perils of dating.,https://www.imdb.com/title/tt23173140/?ref_=sr_t_867
867,868. Sixth Sense,2020–,"8.5
 (240)",Only one fake. An unpredictable sixth-sensory dazzling variety in which six cast members search for fakes that are more real than the real ones hidden in the real world.,https://www.imdb.com/title/tt13427612/?ref_=sr_t_868
868,869. Twin Love,2023–,"6.0
 (216)","Ten sets of twins will be divided into two houses with identical casts, where they will start an intriguing and gripping search for love. The series will discover if their inherent similarities extend to their romantic desires.",https://www.imdb.com/title/tt26941048/?ref_=sr_t_869
869,870. Cake Wars,2015–2017,"6.3
 (471)",Bakers compete to have their cakes showcased at a major party or special event.,https://www.imdb.com/title/tt4718570/?ref_=sr_t_870
870,871. Survivor 2024 All Star,2024–,"7.0
 (34)",,https://www.imdb.com/title/tt30361848/?ref_=sr_t_871
871,872. I Was Prey,2017–,"7.2
 (129)","I Was Prey recounts the hauntingly true stories of people who found themselves in a life or death situation, face-to-face with a dangerous animal.",https://www.imdb.com/title/tt7106722/?ref_=sr_t_872
872,873. Great Chocolate Showdown,2020–,"7.2
 (81)",Bakers make different goodies using chocolate.,https://www.imdb.com/title/tt11399730/?ref_=sr_t_873
873,874. The Titan Games,2019–2020,"7.2
 (3.6K)","Dwayne Johnson presents and stars in ""The Titan Games,"" a groundbreaking new athletic competition based on Dwayne's belief that within each and every one of us is the potential for greatness.",https://www.imdb.com/title/tt7967262/?ref_=sr_t_874
874,875. The Bridge,2020–,"6.6
 (79)",Contestants work together to build a bridge to an island where the prize money is located - then decide who gets the cash.,https://www.imdb.com/title/tt12962104/?ref_=sr_t_875
875,876. Gogo for the Gold,2022–,"6.8
 (64)","12 Gogo boys from across the country descend to Hollywood to compete for $10,000 and the title of 'America's #1 Champion Gogo Superstar - Star.' They are judged by a panel of Gogo experts to find out who stays and who go-goes home.",https://www.imdb.com/title/tt19868934/?ref_=sr_t_876
876,877. Samantha Brown's Places to Love,2018–,"8.6
 (115)","Samantha Brown explores the emotional heart of travel and the people who change, challenge and strengthen a destination.",https://www.imdb.com/title/tt7838238/?ref_=sr_t_877
877,878. Knowing Bros,2015–,"8.1
 (548)","Knowing Bros is a South Korean variety show which features the main cast acting as students in a High School concept and Korean celebrities guesting as the ""Transfer Student"".",https://www.imdb.com/title/tt5247622/?ref_=sr_t_878
878,879. Sidemen Tinder,2019–,"8.6
 (96)",The Sidemen does in real life tinder with a lot of different guests.,https://www.imdb.com/title/tt21364216/?ref_=sr_t_879
879,880. Ghost Brothers: Light's Out,2021–,"6.9
 (266)","The Ghost Brothers 'Dalen Spratt, Juwan Mass and Marcus Harvey' are the dopest brothers on television hunting ghosts. These candid and unorthodox paranormal investigators explore disturbed hotspots across the country, checking out and sizing up local legends and supernatural stories. They are ready to expose the haunted holdouts still hanging around these locations - and why they don't leave.",https://www.imdb.com/title/tt14490952/?ref_=sr_t_880
880,881. Who Wants to Be a Superhero?,2006–2007,"6.2
 (1K)",Eleven hopefuls create their own superhero alter ego in a competition judged by comic book maestro Stan Lee; the winner will be immortalized in a new comic book to be created by Stan Lee himself and released by Dark Horse Comics.,https://www.imdb.com/title/tt0377288/?ref_=sr_t_881
881,882. High Stakes Poker,2006–,"9.0
 (1.2K)","A televised poker cash game in which top pros including Sam Farha, Doyle Brunson, and Johnny Chan compete. This is not a tournament however, each player is playing with their own money and they have the option to buy in again.",https://www.imdb.com/title/tt0497294/?ref_=sr_t_882
882,883. The Bidding Room,2020–,"6.3
 (116)",Nigel Havers presents the British version of the long-running German daytime show in which members of the public get expert advice on selling their antiques and collectables to a panel of dealers.,https://www.imdb.com/title/tt11434078/?ref_=sr_t_883
883,884. The Dog House Australia,2021–,"8.4
 (75)","Animal Welfare League NSW is a picturesque doggy sanctuary where people come in search of a canine soulmate. Putting their best paw forward, can the sanctuary pooches find their forever homes?.",https://www.imdb.com/title/tt15685560/?ref_=sr_t_884
884,885. Betty White's Off Their Rockers,2012–2017,"7.2
 (1.3K)",A hidden camera show where senior citizens play pranks on unsuspecting youngsters.,https://www.imdb.com/title/tt1879713/?ref_=sr_t_885
885,886. MTV India's Next Top Model,2015–2018,"6.1
 (51)",Thirteen girls from different parts of India compete against one another in a series of challenges to win the hearts of the judges and become one definitive supermodel.,https://www.imdb.com/title/tt6056102/?ref_=sr_t_886
886,887. Scotland's Home of the Year,2019–,"7.8
 (22)","Three property experts scour the country on the hunt for Scotland's Home of the Year, with homes being awarded points based on functionality, distinctiveness and style.",https://www.imdb.com/title/tt14962220/?ref_=sr_t_887
887,888. Good Luck Guys Norge,2023–,"7.1
 (61)",Six couples set out on a wild adventure in rural Thailand. Being inept and ill prepared will not stop these comfort creatures while they compete for glory and a long-lost treasure.,https://www.imdb.com/title/tt21989930/?ref_=sr_t_888
888,889. American Pickers: Best Of,2017–,"6.7
 (132)","Exploring America's backroads, experts Mike and Frank uncover treasures hidden in barns and garages, transforming rust into riches by finding lost historical artifacts amid junk piles.",https://www.imdb.com/title/tt6959438/?ref_=sr_t_889
889,890. WWF Divas: Sex on the Beach,2002,"7.6
 (64)",The WWF Divas hit the beach for a sexy photo shoot.,https://www.imdb.com/title/tt0314865/?ref_=sr_t_890
890,891. Shorty's Dream Shop,2022–,"7.6
 (39)","These talented mechanics take beloved cars and transform them into sleek hot rods for deserving owners. They make the American dream come true, one car at a time.",https://www.imdb.com/title/tt24409628/?ref_=sr_t_891
891,892. Hope for Wildlife,2009–2025,"8.8
 (70)",Hope Swinimer and her team of animal loving vets take care and rehabilitate all kinds of wild animals.,https://www.imdb.com/title/tt5433062/?ref_=sr_t_892
892,893. The Real World Homecoming,2021–2022,"7.6
 (316)",The original cast return to the house and explore how Real World transformed their lives.,https://www.imdb.com/title/tt14043930/?ref_=sr_t_893
893,894. Kill Your Lawn,2023–,"8.2
 (32)","The grassy industrial complex is killing the planet. To save life on Earth, it's time to laugh our way to a lawn-less future.",https://www.imdb.com/title/tt27709065/?ref_=sr_t_894
894,895. Beauty and the Geek Australia,2009–,"6.3
 (342)",Stunning girls and genius guys live together and team up as they compete in hilarious and heart-warming challenges to test their intellect and social skills.,https://www.imdb.com/title/tt1530517/?ref_=sr_t_895
895,896. The Lottery Changed My Life,2009–,"7.9
 (30)",,https://www.imdb.com/title/tt2122140/?ref_=sr_t_896
896,897. The Big Nailed It Baking Challenge,2023–,"7.4
 (322)","Follows 10 inexperienced, yet motivated bakers who will compete against one another with assistance and instruction from well-known pastry chefs. The person who crosses the finish line as the greatest baker will be awarded a cash prize.",https://www.imdb.com/title/tt27790130/?ref_=sr_t_897
897,898. Farmhouse Facelift,2021–,"8.1
 (122)","Siblings Billy Pearson, a craftsman contractor, and Carolyn Wilbrink, a designer, tackle the toughest farmhouse renovations for their clients, bringing stunning designs and customized modern conveniences to each project.",https://www.imdb.com/title/tt14170710/?ref_=sr_t_898
898,899. Braxton Family Values,2011–,"6.0
 (663)","The tight-knit Braxton sisters, Grammy-winning artist Toni Braxton, Traci, Towanda, Trina and Tamar, and their headstrong mother share an inside look at their lives and the drama of family chaos.",https://www.imdb.com/title/tt1861510/?ref_=sr_t_899
899,900. I Love Money,2008–,"6.2
 (935)","VH1 gives their contestants who failed to win in love a chance to win the next best thing: cold, hard cash.",https://www.imdb.com/title/tt1229295/?ref_=sr_t_900
900,901. Jailbirds New Orleans,2021–,"6.6
 (306)","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",https://www.imdb.com/title/tt15320436/?ref_=sr_t_901
901,902. Alphabet Lore,2022–,"8.1
 (139)","The letters will be go on a adventure. First, they will have to be in a good group. Then, they will take a cab. Last, they will have a final battle with F. At the end of the movie, it will show F and N being good friends and a post ending.",https://www.imdb.com/title/tt21923830/?ref_=sr_t_902
